,item_channel,program_date,item_name,item_info,program_start_time,program_duration,program_rebroadcast,link
1070,Wasquehal,14 janvier,Pays de Cassel / Wasquehal ✨,Foot • Coupe de France sur beIN SPORTS MAX 7,,,,
1071,Corée du Sud,14 janvier,Portugal / Corée du Sud,Handball • Championnat du monde 2023 sur beIN SPORTS MAX 8,,,,
1072,Iran,14 janvier,Monténégro / Iran,Handball • Championnat du monde 2023 sur beIN SPORTS MAX 9,,,,
1073,Arabie saoudite,14 janvier,France / Arabie saoudite ✨,Handball • Championnat du monde 2023 sur beIN SPORTS 1,,,,
1074,Milan AC,14 janvier,Lecce / Milan AC ✨,Foot • Serie A sur beIN SPORTS 3,,,,
1075,Kentucky,14 janvier,Tennessee / Kentucky ✨,Basket • NCAA sur beIN SPORTS MAX 10,,,,
1076,Sport en France,14 janvier,Demi-finales et finales individuelles hommes et femmes,Escrime • Coupe du monde sur Sport en France,,,,
1077,Eurosport 1,14 janvier,Individuel messieurs,Snowboard • Biathlon 2023 sur Eurosport 1,,,,
1078,Exeter Chiefs,14 janvier,Blue Bulls / Exeter Chiefs ✨,Rugby • Champions Cup sur beIN SPORTS MAX 4,,,,
1079,Ulster,14 janvier,La Rochelle / Ulster ✨,Rugby • Champions Cup sur beIN SPORTS 2,,,,
1080,Bournemouth,14 janvier,Brentford / Bournemouth,Foot • Premier League sur Canal+,,,,
1081,Lorient,14 janvier,Marseille / Lorient 🌟,Foot • Ligue 1 sur Amazon,,,,
1082,Milwaukee Bucks,14 janvier,Miami Heat / Milwaukee Bucks ✨,Basket • NBA sur beIN SPORTS MAX 5,,,,
1083,Sport en France,14 janvier,Hockey sur glace Coupe continentale 2022/2023,Hockey sur glace • Coupe continentale 2022/2023 sur Sport en France,,,,
